序号,标题,层级,忠实度分,原稿字数,生成字数,压缩比,关键词保留,内容词保留,数字保留,ASCII保留,虚构风险,结论,诊断
358,从产业到资本：垄断形态的演变与反垄断本质,medium,94.2,1313,1101,0.839,100%,81%,100%,100%,0%,良好,
359,房住不炒时代：年轻人焦虑的根源与资产逻辑重构,medium,98.9,388,918,2.366,100%,96%,100%,100%,0%,良好,
360,日韩房地产泡沫与人口断崖的必然逻辑,medium,94.3,812,993,1.223,93%,89%,100%,100%,0%,良好,
361,东方文明的家国底色与人口变迁的文化逻辑,medium,92.7,885,1079,1.219,89%,89%,100%,100%,0%,良好,
362,东亚人口问题的核心是现实压力而非自由主义思潮,medium,97.3,1219,999,0.82,100%,91%,100%,100%,0%,良好,
363,中国房地产黄金十年与人口红利的代际匹配,medium,88.7,846,968,1.144,83%,82%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
364,人口基数下滑与房价趋势对出生率的影响,medium,93.9,1266,995,0.786,94%,86%,100%,100%,0%,良好,
365,中国房价演变：从人口红利到投机炒作对生育的冲击,medium,96.0,948,1050,1.108,100%,87%,100%,100%,0%,良好,
366,价值投资与时间价值：负债久期如何决定交易行为,medium,91.6,1559,1223,0.784,93%,80%,100%,100%,0%,良好,
367,对冲基金与长线资金的交易逻辑差异,medium,90.5,1989,1475,0.742,88%,83%,100%,100%,0%,良好,
368,股票收益源于价值与流动性估值扩张的叠加,medium,80.8,980,1029,1.05,100%,86%,0%,100%,0%,基本合格,数字/年份保留率低（丢：2008年）
369,房地产开发本质是金融杠杆游戏,medium,98.8,1476,1300,0.881,100%,96%,100%,100%,0%,良好,
370,房地产开发中的金融杠杆：从前融拿地到施工垫资,medium,89.4,1730,1157,0.669,87%,80%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
371,房地产开发销售环节中的金融杠杆与风险,medium,90.2,1810,1304,0.72,90%,79%,100%,100%,0%,良好,
372,美国基建困局：经济性缺失与制度性成本过高,medium,93.0,1099,997,0.907,92%,86%,100%,100%,0%,良好,
373,美国基建困局：党争内耗与低效体制的必然结果,medium,96.1,764,945,1.237,100%,87%,100%,100%,0%,良好,
374,美国基建停滞的本质：全球化下的资本逐利与产业转移,medium,95.5,942,914,0.97,100%,85%,100%,100%,0%,良好,
375,美国基建的历史辉煌与现实落差,medium,82.6,1186,933,0.787,70%,85%,83%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
376,美国基建停滞与中美对比的误区,medium,95.9,1123,937,0.834,93%,95%,100%,100%,0%,良好,
377,付鹏：美国基建并非全面落后，中美交通体系各有优劣,medium,91.6,1210,1098,0.907,92%,81%,100%,100%,0%,良好,
378,房价停滞对早买房者与高位接盘者的不同影响,medium,94.7,928,998,1.075,100%,82%,100%,100%,0%,良好,
379,房价下跌引发资产负债表衰退与消费萎缩,medium,94.0,1177,1143,0.971,95%,86%,100%,100%,0%,良好,
380,居民债务的终极形态是对人口问题的冲击,medium,99.5,1177,1108,0.941,100%,98%,100%,100%,0%,良好,
381,中国居民消费逻辑：房价上涨带来的资产负债表效应,medium,94.2,1328,967,0.728,100%,81%,100%,100%,0%,良好,
382,房价上涨带来的财富效应是消费预期的核心支撑,medium,91.0,1225,1138,0.929,92%,79%,100%,100%,0%,良好,
383,房价与消费：资产价格上涨如何透支居民购买力,medium,88.0,1264,1054,0.834,95%,78%,75%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
384,中国咖啡文化的三代演变与认知差异,medium,77.5,1839,1446,0.786,85%,68%,50%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
385,星巴克卖的不是咖啡，而是社交场景与装修,medium,72.8,2128,1394,0.655,90%,71%,0%,100%,0%,中等：建议人工复核,数字/年份保留率低（丢：809年）
386,中国咖啡市场进入第三代：价格战、轻奢化与去社交化,medium,84.2,2519,1627,0.646,97%,85%,100%,0%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
387,欧洲天然气危机本质：争夺碳税权与技术裂变机遇,medium,98.5,1120,964,0.861,100%,95%,100%,100%,0%,良好,
388,欧洲能源危机：过快去化石化的代价与俄罗斯的定价权,medium,80.9,1277,1089,0.853,94%,94%,0%,100%,0%,基本合格,数字/年份保留率低（丢：501%）
389,欧洲天然气危机背后的新旧能源博弈与地缘政治,medium,90.5,1564,1187,0.759,100%,68%,100%,100%,0%,良好,
390,北部都会区直击香港核心矛盾：居者有其屋,medium,94.9,1448,901,0.622,100%,83%,100%,100%,0%,良好,
391,香港北部都会区：打破资本囤地困局的居者有其屋新解,medium,86.8,1731,1221,0.705,94%,88%,50%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
392,北部都会区是香港解决住房与民生问题的关键筹码,medium,95.4,1452,900,0.62,100%,85%,100%,100%,0%,良好,
393,国货从消失到复兴：工艺无差异性是国潮崛起的根本,medium,92.5,1630,1142,0.701,95%,81%,100%,100%,0%,良好,
394,国货崛起的底层逻辑：无差异竞争与美学升级,medium,86.2,1621,1144,0.706,80%,77%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
395,国潮走向全球需先完成文化输出与品牌溢价,medium,92.9,1689,1236,0.732,92%,85%,100%,100%,0%,良好,
396,外卖平台本质是劳务派遣与风险隔离,medium,96.1,1113,1088,0.978,100%,87%,100%,100%,0%,良好,
397,外卖用工的三种模式与大数据派单下的议价权丧失,medium,100.0,855,977,1.143,100%,100%,100%,100%,0%,良好,
398,外卖平台借外包撇清劳动关系，需重新界定雇主责任,medium,91.3,725,1232,1.699,88%,86%,100%,100%,0%,良好,
399,从二三线城市调研看居民消费降级与转移,medium,94.0,1196,927,0.775,100%,80%,100%,100%,0%,良好,
400,消费降级背后的中产自我蚕食与政策两难,medium,94.3,673,1054,1.566,96%,86%,100%,100%,0%,良好,
401,中产阵痛与小商贩困境：为何刺激消费不如增收,medium,90.6,1159,1047,0.903,100%,69%,100%,100%,0%,良好,
402,“大而不倒”的本质是对监管与社会的绑架,medium,86.3,1441,989,0.686,86%,71%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
403,大而不倒的本质：债务绑架与自我增强的循环,medium,93.3,1099,1040,0.946,92%,87%,100%,100%,0%,良好,
404,拆解“大而不倒”：打破对赌预期与风险隔离,medium,96.2,1045,1073,1.027,94%,94%,100%,100%,0%,良好,
405,财政政策应从铁公基转向提升幸福感的软性支出,medium,96.8,1252,1228,0.981,100%,89%,100%,100%,0%,良好,
406,基建投资失效：经济结构矛盾下的债务陷阱,medium,95.6,1215,997,0.821,95%,91%,100%,100%,0%,良好,
407,理解“经济不行就搞基建”：投资是增长的放大器而非万能药,medium,94.7,1264,1032,0.816,100%,82%,100%,100%,0%,良好,
408,高估值背后的隐患：企业家精神与管理架构的缺失,medium,98.8,843,993,1.178,100%,96%,100%,100%,0%,良好,
409,估值过快增长与创始人套现风险,medium,98.8,525,853,1.625,100%,96%,100%,100%,0%,良好,
410,好公司的估值逻辑：扩张、消化与再预期,medium,95.4,550,895,1.627,100%,85%,100%,100%,0%,良好,
411,高估值是陷阱：当增长无法兑付预期时的套现逻辑,medium,94.0,737,907,1.231,100%,80%,100%,100%,0%,良好,
412,高估值的双刃剑：从风险投资到二级市场的兑现逻辑,medium,86.8,978,990,1.012,86%,72%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
413,一级市场高估值的本质是投资人回收成本的机制,medium,84.3,1045,963,0.922,100%,81%,100%,0%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
414,付鹏：富过三代并非神话，关键在于财富形态的转换与管理,medium,96.3,325,1065,3.277,100%,91%,100%,100%,0%,良好,
415,家族企业传承困境：从二代拒接棒到创始人控制权执念,medium,98.7,433,855,1.975,100%,96%,100%,100%,0%,良好,
416,家族企业的早期优势与规模化后的致命风险,medium,96.6,543,1090,2.007,100%,88%,100%,100%,0%,良好,
417,从期现双多到现股双多：囤货变现的金融逻辑与信仰危机,medium,89.2,1350,1062,0.787,93%,72%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
418,期现双多的本质：垄断渠道与预期管理的正向反馈,medium,90.9,1121,932,0.831,94%,76%,100%,100%,0%,良好,
419,解读金融稳定委“期现双多”：现货囤积与期货预期的正向反馈,medium,93.0,1364,1153,0.845,96%,82%,100%,100%,0%,良好,
420,乔家大院高粱霸盘：以收军马构建预期引导的金融博弈,medium,91.9,1009,1158,1.148,100%,73%,100%,100%,0%,良好,
421,乔家大院高粱霸盘：用预期制造金融需求解局,medium,92.4,1492,1178,0.79,100%,75%,100%,100%,0%,良好,
422,乔致庸化解流动性危机：抵押资产与联姻融资,medium,86.1,1702,1200,0.705,87%,69%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
423,乔家大院中的金融逻辑：流动性危机与挤兑,medium,89.2,1566,961,0.614,94%,71%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
424,《乔家大院》中的金融局：高粱霸盘与流动性危机,medium,96.3,1098,1029,0.937,100%,88%,100%,100%,0%,良好,
425,乔家大院高粱霸盘：垄断定价权与金融本质,medium,96.8,1021,954,0.934,100%,89%,100%,100%,0%,良好,
426,房地产中介赚的是信息差而非跑腿费,medium,97.5,1270,1189,0.936,100%,92%,100%,100%,0%,良好,
427,互联网35岁危机：从谢顶指数看职场残酷逻辑与战略突围,medium,95.4,778,1026,1.319,100%,85%,100%,100%,0%,良好,
428,四十不惑：金融人的角色转变与金钱观重塑,medium,88.9,632,1139,1.802,92%,73%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
429,三十而立的本质是技能变现，而非成家立业,medium,91.5,952,985,1.035,100%,72%,100%,100%,0%,良好,
430,二十岁摸索世界，四十岁不再困惑：给年轻人的职业规划建议,medium,97.9,602,869,1.444,100%,93%,100%,100%,0%,良好,
431,二十岁多尝试，四十岁定终身：职业规划的试错与定型,medium,99.2,1152,1080,0.938,100%,97%,100%,100%,0%,良好,
432,直播烧画与NFT：数字资产的版权逻辑与商业想象,medium,81.4,1151,1172,1.018,92%,81%,100%,0%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
433,NFT本质是资产证券化：从天津文交所到直播烧画,medium,95.3,782,853,1.091,100%,84%,100%,100%,0%,良好,
434,付鹏谈NFT热潮与艺术品炒作逻辑,medium,97.7,652,988,1.515,100%,92%,100%,100%,0%,良好,
435,平台供应链通吃：从金融控制到农民工人化,medium,95.5,2059,1437,0.698,100%,85%,100%,100%,0%,良好,
436,技术进步需与社会分配达成动态平衡,medium,90.8,1484,1181,0.796,94%,76%,100%,100%,0%,良好,
437,虚拟主权与未来霸权：超越物理世界的货币战争,medium,96.9,1987,1528,0.769,100%,90%,100%,100%,0%,良好,
438,虚拟世界的主权争夺与超主权网络架构,medium,89.3,1999,1206,0.603,96%,80%,100%,67%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
439,虚拟货币的主权困境与精神世界的新霸权,medium,93.2,2487,1516,0.61,97%,81%,100%,100%,0%,良好,
440,教育焦虑的根源：教师地位下降与分配失衡,medium,96.3,856,1089,1.272,100%,88%,100%,100%,0%,良好,
441,教育产业背后：教师收入滞后与资产价格膨胀的矛盾,medium,96.7,1173,938,0.8,100%,89%,100%,100%,0%,良好,
442,教育资本化的极致：掏空当下与透支未来的商业模式,medium,95.5,867,897,1.035,100%,85%,100%,100%,0%,良好,
443,楼市套利背后的假离婚与政策补丁博弈,medium,81.4,819,925,1.129,70%,74%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
444,房地产暴利源于杠杆而非地价,medium,94.0,474,991,2.091,100%,80%,100%,100%,0%,良好,
445,房产限价的核心目的：切断杠杆，给金融机构看,medium,96.4,1096,997,0.91,100%,88%,100%,100%,0%,良好,
446,证监会处罚案例揭示的资本造假套路与做空机制缺失,medium,88.3,633,985,1.556,85%,79%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
447,信息差即利润：澳洲锌矿交易中的实地情报战,medium,90.2,453,943,2.082,90%,79%,100%,100%,0%,良好,
448,信息不对称是交易的核心：从库欣石油库存到浑水做空,medium,89.9,1170,1077,0.921,92%,75%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
449,炒房者如何通过控制盘口与心理预期操纵房价,medium,86.4,604,886,1.467,86%,71%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
450,房地产中介的隐形暴利：额度绑定与捂盘逻辑,medium,84.4,1391,1141,0.82,86%,64%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
451,好标的为何昂贵：利用低流通盘撬动价格的逻辑,medium,98.7,914,993,1.086,100%,96%,100%,100%,0%,良好,
452,楼市坐庄逻辑：不改变趋势，只加速波动,medium,97.8,1047,958,0.915,100%,93%,100%,100%,0%,良好,
453,热钱如何通过低负债成本推高国内资产价格,medium,94.5,1306,1015,0.777,92%,91%,100%,100%,0%,良好,
454,庄家与散户的核心区别：制造并利用信息不对等,medium,91.0,869,1107,1.274,89%,83%,100%,100%,0%,良好,
455,学历通胀下，高门槛手艺比泛化文凭更具回报,medium,94.5,697,930,1.334,94%,89%,100%,100%,0%,良好,
456,过去二十年遍地黄金：外向型经济与增量时代的红利,medium,92.4,612,998,1.631,100%,75%,100%,100%,0%,良好,
457,三胎政策非核心，一胎断崖与房价收入比才是根因,medium,99.3,513,863,1.682,100%,98%,100%,100%,0%,良好,
458,内卷化逼出工匠精神：总量见顶时的细分突围,medium,94.0,727,896,1.232,91%,91%,100%,100%,0%,良好,
459,从核桃到球鞋：资产泡沫背后的代际价值观变迁,medium,90.4,802,1042,1.299,83%,87%,100%,100%,0%,良好,
460,虚拟资产泡沫的本质：缺乏实用价值与信用背书,medium,97.1,1000,1008,1.008,100%,90%,100%,100%,0%,良好,
461,流动性泛滥中虚拟资产是消灭财富的工具,medium,97.7,602,1011,1.679,100%,92%,100%,100%,0%,良好,
462,工厂招工难的深层逻辑：投机诱惑与阶层固化,medium,95.3,581,905,1.558,100%,84%,100%,100%,0%,良好,
463,加班十倍工资的逻辑与年轻人躺平的边际真相,medium,98.4,520,1047,2.013,100%,95%,100%,100%,0%,良好,
464,消费主义的本质是解决资本主义产能过剩,medium,99.6,723,879,1.216,100%,99%,100%,100%,0%,良好,
465,消费主义的终局是金融：对远期现金流的吃干榨净,medium,99.6,646,1125,1.741,100%,99%,100%,100%,0%,良好,
466,互联网寡头对社会的危害不亚于房地产,medium,97.2,434,900,2.074,100%,91%,100%,100%,0%,良好,
467,互联网平台垄断逻辑：烧钱清场与吃两头,medium,99.3,463,927,2.002,100%,98%,100%,100%,0%,良好,
468,外卖打车背后的寡头垄断与大数据杀熟,medium,90.7,1896,1404,0.741,96%,87%,75%,100%,0%,良好,
469,创业终局：在巨头垄断下，主动寻求并购是唯一出路,medium,90.6,649,963,1.484,100%,94%,50%,100%,0%,良好,
470,雪球结构本质：购买者实为卖出期权的“卖保险者”,medium,100.0,543,894,1.646,100%,100%,100%,100%,0%,良好,
471,股指期货持仓放开是雪球产品壮大的基础,medium,91.9,450,874,1.942,100%,98%,50%,100%,0%,良好,
472,保险公司并非稳赚不赔：黑天鹅事件下的无限风险,medium,97.9,598,876,1.465,100%,93%,100%,100%,0%,良好,
473,雪球结构本质：谁在支付保费，谁在对冲风险,medium,97.6,563,848,1.506,100%,92%,100%,100%,0%,良好,
474,雪球结构本质：用超额收益支付对冲系统性风险的保费,medium,99.0,1039,1074,1.034,100%,96%,100%,100%,0%,良好,
475,雪球产品、股指期货与超额阿尔法收益的共振逻辑,medium,99.6,809,939,1.161,100%,99%,100%,100%,0%,良好,
476,付鹏：医美暴利不在上游，而在下游渠道的灰色成本,medium,90.2,791,1073,1.357,83%,87%,100%,100%,0%,良好,
477,医美行业为何频繁“洗手不干”：税务风险与舆论危机,medium,88.1,854,963,1.128,83%,80%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
478,医美行业乱象：贩卖焦虑与医美贷的陷阱,medium,96.5,871,905,1.039,100%,88%,100%,100%,0%,良好,
479,外资越跌越买的逻辑：左侧交易只问买不买，不问价格高低,medium,92.5,840,1032,1.229,90%,87%,100%,100%,0%,良好,
480,左侧交易逻辑：为何机构越跌越买且长期持有,medium,94.8,959,1024,1.068,100%,83%,100%,100%,0%,良好,
481,外资买入不代表见底，而是资产相对便宜及负债驱动逻辑,medium,97.0,1036,1067,1.03,100%,97%,86%,100%,0%,良好,
482,赚资产估值偏离的钱快，但终将回归价值,medium,97.1,599,938,1.566,100%,90%,100%,100%,0%,良好,
483,财富效应不足时的投资逻辑与核心资产配置,medium,91.5,1193,1256,1.053,83%,91%,100%,100%,0%,良好,
484,2020年股市收益本质：全球负债端成本变动与边际资金效应,medium,96.2,1048,1090,1.04,100%,87%,100%,100%,0%,良好,
485,热钱涌入与流出的逻辑：新兴市场与中国市场的差异,medium,98.5,1225,1154,0.942,100%,95%,100%,100%,0%,良好,
486,股票涨跌与资产无关：从增量博弈到存量回归的路径推演,medium,88.7,436,851,1.952,100%,96%,100%,0%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
487,高利率抑制投机：西班牙加入欧元区前后的社会变迁,medium,88.6,958,1108,1.157,94%,82%,75%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
488,卖掉伦敦房产移居南欧：电视节目如何催生房地产套利潮,medium,81.9,595,1160,1.95,85%,78%,60%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
489,离开北京去成都养老：四个年轻人供养两个老人的经济账,medium,98.1,1235,1086,0.879,100%,94%,100%,100%,0%,良好,
490,金融杠杆收缩是资产崩盘的明确信号,medium,94.5,653,933,1.429,100%,94%,75%,100%,0%,良好,
491,房价下跌的真相：你就是原因，因即是果,medium,99.8,1074,1041,0.969,100%,99%,100%,100%,0%,良好,
492,大而不倒的悖论：因不敢出事而累积更大危机,medium,95.7,361,985,2.729,100%,86%,100%,100%,0%,良好,
493,省会城市虹吸效应：人口与财富向中心集聚,medium,96.2,665,866,1.302,100%,88%,100%,100%,0%,良好,
494,户口价值正在稀释：公共资源均衡与人口争夺战,medium,95.7,981,1057,1.077,100%,86%,100%,100%,0%,良好,
495,人口是资产定价的根源：从东北衰退看现金流折现,medium,92.6,678,961,1.417,100%,75%,100%,100%,0%,良好,
496,亚洲金融危机后香港社会的阶层固化与希望缺失,medium,91.5,1145,1099,0.96,92%,81%,100%,100%,0%,良好,
497,香港K型社会撕裂：中资涌入与贫富隔阂下的情绪失衡,medium,99.6,1392,1247,0.896,100%,98%,100%,100%,0%,良好,
498,底层怕通缩顶层怕通胀：城市化下的生存挤压,medium,88.0,1323,1306,0.987,100%,93%,100%,0%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
499,房地产的绑架逻辑：资产如何变为绞索,medium,99.2,912,1104,1.211,100%,98%,100%,100%,0%,良好,
500,九七年香港房地产泡沫：一代人被债务吞噬的青春,medium,96.8,1077,1039,0.965,100%,90%,100%,100%,0%,良好,
501,银行不愿收房：负资产下的生存逻辑与通缩真相,medium,96.2,738,1032,1.398,100%,87%,100%,100%,0%,良好,
502,中外房地产暴利真相：杠杆率与持有成本的本质差异,medium,91.1,1126,1147,1.019,100%,70%,100%,100%,0%,良好,
503,外国人并非不炒房，只是持有成本与盈利模式不同,medium,75.8,1595,1423,0.892,96%,83%,50%,0%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
504,金融监管放松与房地产泡沫中的赢家逻辑,medium,98.2,1007,1062,1.055,100%,94%,100%,100%,0%,良好,
505,资本绝不能控制教育：阶层跨越的通道必须公平,medium,99.2,649,909,1.401,100%,97%,100%,100%,0%,良好,
506,教育资源分配：钱不应决定入学资格,medium,96.4,767,1064,1.387,100%,88%,100%,100%,0%,良好,
507,疫情暴露美国社会撕裂与资本主义分配困境,medium,85.0,389,1005,2.584,70%,85%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
508,一线房产内部的一二三级分化与投资建议,medium,96.7,460,1008,2.191,100%,89%,100%,100%,0%,良好,
509,户籍观念淡化与环京房产的投资逻辑陷阱,medium,98.0,884,1083,1.225,100%,93%,100%,100%,0%,良好,
510,付鹏：死磕一线城市没必要，坚持三年拿不到资源就撤,medium,93.0,409,989,2.418,100%,77%,100%,100%,0%,良好,
511,豪宅并非居住属性而是金融抵押品,medium,83.1,753,945,1.255,100%,94%,0%,100%,0%,基本合格,数字/年份保留率低（丢：千万三千万）
512,豪宅操盘术：零成本收购与银行授信套利,medium,100.0,1659,1678,1.011,100%,100%,100%,100%,0%,良好,
513,过亿豪宅的本质是资金载体与富人间的流动性置换,medium,89.6,918,1078,1.174,100%,80%,71%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
514,1999年留学英国的房产套利：时代造就的财富,medium,95.9,1144,1051,0.919,100%,93%,88%,100%,0%,良好,
515,金融监管放松红利：免费留学与财富翻倍的案例复盘,medium,94.3,1133,1221,1.078,100%,81%,100%,100%,0%,良好,
516,2008年次贷危机的根源：金融监管大放松,medium,92.0,1003,1153,1.15,93%,82%,100%,100%,0%,良好,
517,产业转移与服务业化：西方劳动收入下降的根源,medium,92.5,1753,1405,0.801,97%,87%,83%,100%,0%,良好,
518,读懂政策平衡术：从09年杠杆激增到越南房产陷阱,medium,99.2,1454,1483,1.02,100%,97%,100%,100%,0%,良好,
519,界定炒房与自住的核心标准是金融杠杆,medium,97.1,656,1066,1.625,100%,90%,100%,100%,0%,良好,
520,房价上涨本质是卖方折现买方的未来现金流,medium,98.5,1833,1773,0.967,100%,95%,100%,100%,0%,良好,
521,收入三重结构与房价上涨的劈叉现象,medium,85.4,1664,1080,0.649,91%,62%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
522,资产价格压制下的年轻人：不婚不育是被迫而非自我,medium,98.2,1511,1218,0.806,100%,94%,100%,100%,0%,良好,
523,日本居住空间压缩与低生育率的社会经济根源,medium,72.3,2287,1408,0.616,91%,68%,0%,100%,0%,中等：建议人工复核,"数字/年份保留率低（丢：1970年, 1980年）"
